id_imagem,lote,texto_referencia,texto_transcrito
19,1,"É inegável que há democratização da cultura desde o  início do Processo de civilização humana.  No entanto, a cultura  é inacessível no Brasil devido à diferença social, certamente seria  necessário que a População rompa com a barreira do desconhecimen-  -to e entenda a importância da cultura no País.   A democratização da cultura no Brasil está intimamente ligada  à diferença da sociedade pois assistir a um filme nos cinemas ou  uma peça teatral, visitar algum museu, Participar de movimen-  tos culturais, viajar para conhecer estados brasileiros ou conhecer  algum país, ou seja, Participar de movimentos culturais regionas  e globais, infelizmente é inacessivel para a População mais carente.  Deste modo, a inclusão cultural depende não só da formação de  um público consumidor, mas também da redefinição dos valores  enraiado.   Um bom caminho seria a Promoção dos costumes de grupos  desprivilegiados socialmente, tanto por parte do governo quanto  da mídia e iniciativa privada para dvulgação e valorização  das práticas e manifestações por meio de programas de  televisão, campanhas e até festivais temáticos, mas por falta  governamental do País junto com os estados é vidente, no  entanto, o Brasil  não libera o capital adequado para a construção de museus e  biblioteca publicas e tampouco incentivo a população, deixando caren-  te de cultura e sem a diversificação da maneira de pensar, consequ-  -entemente, agir.   Portanto, para que haja o rompimento da falta de conhecimento  da população, o Estado deve ter o papel de tornar a cultura maís ace-  -ssivel, independentemente da classe social, com movimentos e campanha  de popularização de conscientezando a população de que a cultura  é importante para o progresso social, como projetos nas comunidades  exposições, eventos e festas culturais, tudo de graça para as pessoas, mais  carentes para que elas também possam ter acesso a cultura.",Transcrição mockada para 19
2,1,"O Brasil é um país com uma enorme <Rasura> diver-  sidade cultural, com vários projetos que incen-  tivam diferentes práticas culturais em cada re-  gião. Porém, também há comunidades que não possuem  o devido direito de manifestar a sua cultura  ou de ter acesso.   É evidente a elitização da cultura em território  brasileiro, algo que deveria <Rasura> ser um direito de  todos os cidadãos e que acaba sendo concentrado  em uma pequena parte da população: a classe  alta. Segundo a Constituição Federal (Art. 215) o  Estado deve garantir a todos o pleno exercício  dos direitos culturais e acesso às fontes da  cultura nacional, poréem a realidade é que  muitos brasileiros não possuem condições  de ir prestigiar pessoalmente pois além do  alto preço que é cobrado os centros dedicados  para essas apresentações culturais ficam  localizados em àreas de maior poder aquisi-  tivo. Vale lembrar que graças à essa elitização  apenas 13% da população vai ao cinema mais de 17%  nunca foi ao museu e 78% nunca assistiu a um  espetáculo de dança.   Dessa forma é de suma importância que sejam toma-  das as devidas providências para garantir que todos  os cidadãos <Rasura> exerçam o seu devido direito de ter acesso  aos meios da cultura nacional. Visto que ter conhecimen-  to sobre a própia cultura é ter conhecimento sobre  as origens que formaram o Brasil e o seu povo.",Transcrição mockada para 2
20,1,"A constituição Federal de 1988 é famosa pelos direitos  que ela decreta, principalmente os sociais. No entanto segun-  do dados coletaodos recentemente mais da metade da  população brasileira não está em contato com os meios  em que a cultura se dispensar ou não usufrui dos  meios. Isso se dá devido à administração antiética do  estado e mesmo quando o cidadão possui uma oportunidade  de lazer, não aproveita por motivos de desconforto social em  virtude da elitização cultural atual.   A partir do momento que uma parte do momento que  uma parte da sociedade tem acesso a determinado conhe-  cimento e outra parte não, já que nem todos estão tendo  a mesma oportunidade, também  gera um preconceito. Apesar  do nosso governo e varias empresas disponibilizarem varia-  das formas de inserção a cultura, muitas vezes ela não  abrange todos os lugares e classes sociais.   Outro grande problematica é a corrupção <Rasura> sistema-  tica do estado que faz com que os investimentos  em meios  de comunicação, artistico e recreativos sejam desviados egais-  tamente, para conta de marginais, com isso, o meio cultural  está sendo saqueado e impedido de cumprir suas funções  sociais.   Fica evidente, portanto, que é primordial o combate a  corrupção é a má utilização das leis. Nesse sentido, faz-se  necessario que o governo, por meio do ministerio da cultura  aumentar o rigor e fiscalização e a utilização de leis.  logo, o ministerio da cultura deve investir por meios dos  impostos em espaços para todos os publicos, a fim de apre-  sentar diferentes culturas e a sua importancia para a  sociedade brasileira.   O governo federal deve proporcionar eventos de valores  acessiveis para toda a população, a fim de apresentar for-  mas de entretedimento e novas formas de ver o mundo,  assim sera possivel garantir os direitos da constituição.",Transcrição mockada para 20
21,1,"De acordo com a Constituição Federal de 1988 em ser art.  215, define que ""todos são iguais perante a lei"" tor-  nando o dever do Estado de conceder acesso á cultu-  ra nacional apoiando e incentivando a valorização  e a difusão das manifestações culturais.   Sendo então importante pontuar, de início que a im-  parcialidade governamental gera vulnerabilidade, ou co-  nhecimento sociocultural. No entanto, é notável a frag-  mentação de ideias deste saber, consequência do dis-  tanciamento e alocação dos recursos a população  carente. Segundo o filósofo grego Sócrates, o saber  é determinante para a prosperidade. Nesse contexto,  é evidente a natureza do conhecer e que a ausência  na formação de individuos.   Em segundo lugar presencia-se o afastamento de-  sses meios para classes menores evidenciado pela  pesquisa feita pela Folha em 2014 onde 42% não  consumem cultura. Ainda que disponíveis, são locali-  zados em âmbitos inacessíveis para grupos particu-  lares que se acomodam ao seu local diário. Portanto  tais atos caem sob uma margem de ameaças a  existencia histórica disseminados pela má atuação de  membros responsáveis pelo bem-estar social.   Dessa forma uma vez que a democratização cultural é um  revés para a sociedade brasileira, urge ao Poder Executivo a  destinação cultural por meio de eventos e palestras conteu-  distas historicamente em locais públicos de modo que au-  xiliem na formação de civis, além de disponibilizar trans-  portes específicos para áreas afastadas. Assim de fato, cla-  sses <Rasura> menores se tornarão mais próximas a am-  bientes que atuam na construção do ser humano crí-  tico promovendo o <Rasura> crescimento do parecer sociocu  ltural e a Constituição Federal será efetivada na prá  tica.",Transcrição mockada para 21
22,1,"O filósofo brasileiro Raimundo Teixeira Mendes, em 1889, adaptou  o lema positivista ""ordem e progresso"" não só para a bandeira na-  cional, mas também para a nação que, no contexto hadierno, en-  frenta significativos estorvos para seu dsenvolvimento. La-  mentavelmente, entre eles, os desafios para a democratização  da cultura. Esse lastimavel panorama é calculado na inopera-  ncia estatal e tem como consequência a <Rasura> religiosa e o  preconceito racial. <Símbolo> intolerãncia   De início, há de contastar a débil ação do poder público. Acerca  disso, o filósofo inglês Thomas Hobbes em seu livro ""Leviatã"", de-  fende a incubência do Estado em propocionar meios que auxili-  em o processo coletivo. As autoridades contudo vão de encontro  com as ideias de Hobbes, um vez possuem um papel inerte em  relação a <Rasura> intolerãncia religiosa. Esse cenário decorre do fato  de que, assim como pontuou o economista norte-americano  Murray Rothband, uma parcela dos representantes governa-  mentais, ao se orientar por um viés individualista e visar  a um retorno imediato de capital político, negligencia a con-  servação dos direiros sociais.   Por conseguinte, atrelada ao desinteresse estatal em promover a  cultura, a postura omissa de parte das escolas públicas brasilei-  ras também é um empecilho para a democratização do ace  sso à <Rasura> cultura. Isso decorre da matriz curricula atual,  que privilegia as disciplinas tradicionais e não prevê ativi-  dade culturais. <Rasura> Lamentavelmente, é comum a escola  a escola limitar-se a ensinar o conteúdo que é conside-  rado ""relevante"". Por consequência de Tal exclusão, o  indivíduo cresce e vê a cultura dos outros com intolerân-  cia.   Portanto, é evidente que o Estado e a escola devem trabalhar pa-  ra democratizar o acesso à cultura no Brasil. Em razão di-  sso o Ministerio da cultura deve, possibilitar o acesso a cultu-  ra, aumentar os repasses financieiros as secretarias  Estaduais de cultura. Somente assim, com a conjuntura  dessa <Rasura> ideias, o progresso na Bandeira Nacional irá brilhar",Transcrição mockada para 22
23,1,"De início, o Brasil é um país vasto de cultura, toda a região  do Brasil contém uma cultura diferente, peculiar e única. <Rasura> O nor-  te com a forte presença da cultura indígena. O centro-oeste e Su-  deste com a predominância caipira. O nordeste com suas festas  juninas, poesia popular, capoeira e a região sul com predomin-  ância de miscigenação mameluca e grande influência europeia.  A rigor, eu tenho orgulho de morar num país onde a diversida-  é grande e peculiar, mas ainda existe um problema, não são  todos <Rasura> que tem acesso á cultura, ainda existe cidadãos de  de baixa renda que não tem condicões de comprar por exemplo  ingresso para um teatro ou show artístico na sua cidade.   Além disso, segundo a constituição Federal, artigo 215 compete  ao Estado garantir a todos o pleno exercício dos direitos culturais  e acesso ás fontes da cultura nacional, apoiar e incentivar a valo-  rização e a difusão das manifestacões culturais, através da demo-  cratização do acesso aos bens de cultura. Portanto, não vemos os  governantes concretizando essa lei, num país onde o povo se expressar  através da arte a sua realidade, muitas vezes não tem a oportuni-  dade de sentir a experiência de assistir por exemplo um show de teatro.   Ademais, no Brasil existe artísta que nos representa mundo a fora  como por exemplo, Daiane dos Santos ginásta exemplar que já ganhou  medalha de ouro nos jogos olímpicos que representou a força e garra  do povo negro, Gisele Bündchen modelo brasileira renomada, Pe-  lé e Ronaldo jogadores de futebol que foram muito reconhecidos  Carmen Miranda, <Rasura> artísta musical mundialmente conhecida.   Portanto, cabe ao governo federal, junto com o ministério da  cultura, responsável pelo acesso populacional da cultura, fornecer  recursos para extirpar o <Rasura> problema da Democratização da  cultura para a população brasileira, para assim não haver con-  flito diante a falta de acesso para toda a população brasileira,  <Rasura> pois a cultura é um dos principais fatos para a identidade de  um povo.",Transcrição mockada para 23
24,1,"Na série ""aruanas"" é mostrada a comocão e luta de  três mulheres que agem para proteger os povos indige-  nas locais na amazônia ja que a desvalorização sobre  essa população é extremamente causada pela explora-  ção e desmatamento infelizmente fora da ficção se caracte-  riza os mesmos acontecimentos, pois o preconceito obse-  ssão por riqueza leva o tal constante criminoso.   E evidente que, com o desconhecimento dessas socieda-  des existe uma grande bolha social que leva ao precon-  ceito dos povos indigenas e quilombolas, já que no livro  da constituição federal artigo 5º mostra que todos os cida-  dões tem os mesmos direitos e devem ser respeitados, po-  rém o IBGE fez uma pesquisa que mostra que boa parte  das perereoas não sabem os valores culturais e agem  de maneira grosseira com essas pessoas querem apenas  respeito.   Ademais, a desvalorizacão desses povos levam ao  desconhecimento da cultura do país, pois, pelo precon-  ceito não conhecem a própria história, isso prejudica  as mais novas gerações que não tem os devidos recon-  hecimentos dos seus valores, isso mostrado pelo  influenciadores ""Doutor Fran"" que leva as redes so-  ciais as leis que submete a valorização de direitos  humanitarios, já que na frase ""a Educacão é a principal  dadiva.   Portanto o Governo em parceria com o ministério da  Educação e cultura, MEC tem como objetivo fazer cam_  panhas publicitarias nos meios de comunicacão como  TV e radios, para que haja uma divulgacão dos valo-  res reconhecidos aos povos desvalorizados o  projeto Direitos Humanizados (DH) tem como finalida-  de ter verbas através dos impostos, assim levan-  do a Democratizacão da Cultura no Brasil e por  fim respeitando os direitos Humanos.",Transcrição mockada para 24
25,1,"Durante o período do Renascimento, diversas mudanças  sociais e culturais ocorreram, trazendo a valorização do  homem em sua forma. Analogamente, a sociedade brasi-  leira passa por diversas mudanças culturais, entretanto,  o homem em si não passa por essa valorização devido  a elitização da cultura e o sentimento de não pertencimen-  to ao meio cultural de boa parte da população.   Sob esse viés, cabe ressaltar que a elitização da  cultura impede que classes mais baixas tenham acesso  as formas de arte. Nesse contexto, a consultoria Jleiva  cultura e Esporte realizou uma pesquisa na qual indica  que 32% da população depende de acesso gratuito para ir  a eventos culturais. Logo com a falta desses eventos apenas  as elites possuem formas de prestigiar exposições artísticas  intensificando a exclusão cultural na sociedade.   Ademais, o não pertencimento sentido por boa parte  da população agrava tal problemática. Diante disso  o Ministério da Cultura realizou em 2013 uma pesquisa  na qual 75% dos brasileiros <Rasura> responderam que não fre-  quentam ou nunca foram a um museu por não se sentirem  pertencentes à expressão cultural. Essa falta de pertenci-  mento advem de valores enraizados na sociedade, o que  só intensificam a falta de democratização a cultura.   Diante disso, urge que o Governo Federal, juntamente  com o Ministério da Cultura, órgão responsável por regula-  mentar a cultura no Brasil, ampliem a oferta a eventos  culturais, por meio das mídias sociais, estimulando a  participação da sociedade nesses eventos, a fim de que  todos tenham acesso a arte e a cultura seja democratizada.",Transcrição mockada para 25
26,1,"Na obra ""Utopia"", de Thomas More é idealizado uma sociedade sem conflitos e  problemas. Entretanto, é nítido que isso não é semelhante a realidade bra-  sileira, tendo em vista a falta da democratização da Cultura no Brasil. Tal  fator é motivado pelo preconceito e a desigualdade social.   Sob esse viés, é notório que a ausência do respeito é um proble-  ma. O artigo 220 da constituição afirma que todo cidadão tem o direito a  liberdade de expressão. Contudo, na atualidade ainda existe um forte preconcei-  to contra as manifestações culturais, que sofrem perseguições dos seus opres-  sores antidemocráticos deixando assim claro que a liberdade de expres-  são não é algo concreto no Brasil.   Ademais, é vigente que a desigualdade social contribui para a falta de  acesso à cultura. Segundo dados divulgados pelo Instituto Brasileiro  de Geografia e Estatíistica (IBGE), cerca de 13,5% da população esta vivendo  na miséria, em consequência disso, muitos dos <Rasura> cidadãos brasi-  leiros não conseguem ter contato com nenhuma forma de cultura, enfatizan-  do ainda mais essa problemática.   Portanto, é necessário que as escolas junto aos pais, incentivem os jo-  vens a conhecerem a diversidade cultural brasileira, por meio de palestras,  exposições e conversas familiares, para que a escassez do conhecimen-  to não gere o preconceito, também é importante que o Governo promova  investimentos nos centros culturais, por meio da desponibilização  de verbas para que as instituições possam ser aprimoradas e expan-  didas em diversas localidades para que possa ser possível a aces-  sibilidade das pessoas as obras literárias e teatrais gratuitamen-  te, garantindo o acesso democrático de toda a população a cultura, e fa-  zendo com que a idealização de Thomas More não seja mais uma utopia.",Transcrição mockada para 26
27,1,"De acordo com a constituição federal de 1988, no  artigo 215, garante o dever do estado de conceder à  cultura nacional. Porém nem todo cidadão brasileiro  possui acesso a diferentes formas de cultura. Ade-  mais, muitos fatores contribuem para a dificuldade  da democratização da cultura brasileira, tal qual, o  alto custo de ingressos, ou até mesmo a desvalorização  dos costumes tipicamente brasileiros.   Durante o período da Grécia antiga, época que surgiu  o teatro, os gregos assistiam as peças teatrais de graça,  além de que ir ao teatro era um compromisso social  das pessoas, uma vezque os festivais teatrais eram de  grande importância. Isso mostra como a sociedade da-  va importância as manifestações artísticas, além do  governo entender a importância da arte e cultura pa-  ra as pessoas e tornar acessível para todo o público.   Em 15 de setembro de 2022, deu início a uma promo-  ção de ingressos de cinema, que foi nomeada a ""semana  do cinema, idealizada pela Federação Nacional das  Empresas exibidoras Cinematográficas (Fenec), o ingresso  passou a ser R$10 em algumas redes de cinema. Tal a-  ção tinha como objetivo aumentar o público nas salas de  cinema, uma vez que na pandemia da COVid esse público redu-  ziu. O objetivo da promoção foi alcançado, pois o público  do cinema no Brasil aumentou em 296% em apenas 1 semana.   Em suma, medidas são necessárias para promover a acenssão  cultural. O ministério da cultura deve popularizar a  sociedade em museus, cinemas e teatros, criando eventos  artísticos-culturais gratuítos ou com redução no preço dos ingressos  atraindo mais público, e tornando o acesso a cultura,  mais fácil, principalmente para pessoas que fazem parte  de classes menos favorecidas.",Transcrição mockada para 27
28,1,"A Constituição Federal de 1988, dolumento iurídi-  co mais imporlante do país, prevê em seu artigo  <Ilegível> o direito a cultura nacional como inerente a  <Ilegível> cidadão brasileiro. Com quando tal prerrogativa não  vem se reverberado cem ênfase na prática quando  se fala da democratização da cullura no Brasil. Diante  dessa perspectiva, faz-se a análise das falares que  favarecem esse quadro.   Em uma primeira análise deve-se ressaltar de me-  didas governamentais para combater a falta de alesso  cultural no solo brasileiro. Nesse sentido várias ti-  pos de cultura são desconhecidas e esquecidas com  o passar das anos por falla de conhecimento públi-  co. Essa conjuntura segundo o filósofo contraluslista <Ilegível>  locke uma violaçaõ do ""confnto social"" iá que o Estado  naõ cumpre com a sua funçaõ de garantir aos cida.  daõs desfrutem de seus direitos como a acessibilidade  cultural o que infelizmente é evidenle no país.   Ademais é fundamental apontar a Censura como im-  pulsionadora desse grande problema que a desigual-  dade cultural segundo o IBGE 90% dos municípios não  possuem espacos culturais, diante de lal <Ilegível> perce-  be-se a falla de planeiamenlo dos governantes para  disponibilizar o acesso a cullura. Logo é inadmissível  que esse cenário contiue.   Depreende-se portanlo a necessidade de combater  esses o bstáculos, para isso é necessario que o Eslado  por meio do Minislro da Cullura providencie locais  apropriados a fim de demonstrar para a populacaõ  varias culturas <Rasura> existenles onde e papel do Es-  tado de <Ilegível> corretamente o seu papel no ""contralo  Social"" como afirma Jane Locke.",Transcrição mockada para 28
